"FIRST-BOOK-DATE","03/27/2025"
"PER","JFG","","04/07/2025","04/14/2025","99","RQ"
"SYD","D5","","04/07/2025","04/14/2025","77","RQ"
"SYD","DSANDS","","04/07/2025","04/14/2025","122","RQ"
"SYD","JFG","","04/07/2025","04/14/2025","49","RQ"
"ADL","D5","","04/14/2025","04/21/2025","77","RQ"
"ADL","DSANDS","","04/14/2025","04/21/2025","133","RQ"
"ADL","JFG","","04/14/2025","04/21/2025","52","RQ"
"ASP","D5","","04/14/2025","04/21/2025","106","RQ"
"ASP","DSANDS","","04/14/2025","04/21/2025","128","RQ"
"ASP","JFG","","04/14/2025","04/21/2025","102","RQ"
"BME","D5","","04/14/2025","04/21/2025","126","RQ"
"BME","DSANDS","","04/14/2025","04/21/2025","139","RQ"
"BME","JFG","","04/14/2025","04/21/2025","104","RQ"
"BNE","D5","","04/14/2025","04/21/2025","77","RQ"
"BNE","DSANDS","","04/14/2025","04/21/2025","133","RQ"
"BNE","JFG","","04/14/2025","04/21/2025","51","RQ"
"CNS","D5","","04/14/2025","04/21/2025","77","RQ"
"CNS","DSANDS","","04/14/2025","04/21/2025","133","RQ"
"CNS","JFG","","04/14/2025","04/21/2025","33","RQ"
"DWN","D5","","04/14/2025","04/21/2025","91","RQ"
"DWN","DSANDS","","04/14/2025","04/21/2025","129","RQ"
"DWN","JFG","","04/14/2025","04/21/2025","79","RQ"
"EXM","D5","","04/14/2025","04/21/2025","108","RQ"
"EXM","DSANDS","","04/14/2025","04/21/2025","139","RQ"
"EXM","JFG","","04/14/2025","04/21/2025","104","RQ"
"HBA","JFG","","04/14/2025","04/21/2025","64","RQ"
"MEL","D5","","04/14/2025","04/21/2025","77","RQ"
"MEL","DSANDS","","04/14/2025","04/21/2025","122","RQ"
"MEL","JFG","","04/14/2025","04/21/2025","47","RQ"
"PER","D5","","04/14/2025","04/21/2025","104","RQ"
"PER","DSANDS","","04/14/2025","04/21/2025","137","RQ"
"PER","JFG","","04/14/2025","04/21/2025","99","RQ"
"SYD","D5","","04/14/2025","04/21/2025","77","RQ"
"SYD","DSANDS","","04/14/2025","04/21/2025","122","RQ"
"SYD","JFG","","04/14/2025","04/21/2025","46","RQ"
"ADL","D5","","04/21/2025","04/28/2025","77","RQ"
"ADL","DSANDS","","04/21/2025","04/28/2025","128","RQ"
"ADL","JFG","","04/21/2025","04/28/2025","36","RQ"
"ASP","D5","","04/21/2025","04/28/2025","92","RQ"
"ASP","DSANDS","","04/21/2025","04/28/2025","128","RQ"
"ASP","JFG","","04/21/2025","04/28/2025","81","RQ"
"BME","D5","","04/21/2025","04/28/2025","124","RQ"
"BME","DSANDS","","04/21/2025","04/28/2025","137","RQ"
"BME","JFG","","04/21/2025","04/28/2025","101","RQ"
"BNE","D5","","04/21/2025","04/28/2025","77","RQ"
"BNE","DSANDS","","04/21/2025","04/28/2025","128","RQ"
"BNE","JFG","","04/21/2025","04/28/2025","29","RQ"
"CNS","D5","","04/21/2025","04/28/2025","77","RQ"
"CNS","DSANDS","","04/21/2025","04/28/2025","128","RQ"
"CNS","JFG","","04/21/2025","04/28/2025","21","RQ"
"DWN","D5","","04/21/2025","04/28/2025","88","RQ"
"DWN","DSANDS","","04/21/2025","04/28/2025","129","RQ"
"DWN","JFG","","04/21/2025","04/28/2025","77","RQ"
"EXM","D5","","04/21/2025","04/28/2025","105","RQ"
